198.235.24.32 - - [31/Oct/2022:01:49:25 +0000] "GET / HTTP/1.1" 200 16351 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
59.9.136.7 - - [31/Oct/2022:02:06:14 +0000] "GET / HTTP/1.1" 200 4618 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:02:06:14 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 404 188 "http://4.230.17.78/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:02:06:14 +0000] "GET /favicon.ico HTTP/1.1" 404 964 "http://4.230.17.78/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
172.104.11.51 - - [31/Oct/2022:02:53:35 +0000] "\x16\x03\x01\x00\x85\x01\x00\x00\x81\x03\x03'[x7\x08\x87\xA5C\xF6Z\xAB\xE5\xCE[\x90\xA69\x9E\x1C`\x01\xD3\x5Cz\x13\xF303\x06%\x86\xF1\x00\x00 \xC0/\xC00\xC0+\xC0,\xCC\xA8\xCC\xA9\xC0\x13\xC0\x09\xC0\x14\xC0" 400 157 "-" "-"
59.9.136.7 - - [31/Oct/2022:03:07:36 +0000] "GET / HTTP/1.1" 200 4618 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:07:36 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 404 188 "http://4.230.17.78/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:07:40 +0000] "GET / HTTP/1.1" 200 4618 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:07:40 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 404 188 "http://4.230.17.78/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:07:44 +0000] "GET / HTTP/1.1" 200 4618 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:07:44 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 404 188 "http://4.230.17.78/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:25:10 +0000] "GET /admin HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:25:10 +0000] "GET /admin/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:25:10 +0000] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 875 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:25:10 +0000] "GET /static/admin/css/base.css HTTP/1.1" 404 188 "http://4.230.17.78/admin/login/?next=/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:25:10 +0000] "GET /static/admin/css/login.css HTTP/1.1" 404 188 "http://4.230.17.78/admin/login/?next=/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
59.9.136.7 - - [31/Oct/2022:03:25:10 +0000] "GET /static/admin/css/responsive.css HTTP/1.1" 404 188 "http://4.230.17.78/admin/login/?next=/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
